KabKota_Angka,Pengeluaran_PerKapita,Total_Pengeluaran_RT,Makanan_Rupiah,NonMakanan_Rupiah,Kalori_PerKapita,Penimbang_Penduduk,Penimbang_RT
1,1056044.642857142,4224178.571428571,2901428.571428571,1322750,2208.525357142857,472.431522274178,118.1078805685445
1,2625535.714285714,7876607.142857143,4542857.142857143,3333750,2673.772857142856,313.6315680669595,104.5438560223198
1,1331035.714285714,6655178.571428572,3906428.571428571,2748750,1877.665387755101,2818.699534062231,563.7399068124462
1,1314994.047619047,2629988.095238095,1727571.428571429,902416.6666666666,3208.332142857142,725.9849597551124,362.9924798775562
1,3045170.634920634,9135511.9047619,3519428.571428571,5616083.333333332,2436.420748299319,2747.258656625395,915.7528855417986
1,525375,2101500,1370999.999999999,730500,1612.637295918367,2599.773950653383,649.9434876633458
1,776932.5396825396,2330797.619047619,1486714.285714285,844083.3333333334,1862.960952380951,4018.820744286817,1339.606914762272
1,998538.0952380951,4992690.476190475,2910857.142857142,2081833.333333332,1564.675428571428,6745.754695314913,1349.150939062982
1,1273095.238095238,3819285.714285714,2227285.714285714,1592000,2628.312176870747,2924.492262273551,974.8307540911838
1,1128285.714285714,1128285.714285714,517285.7142857142,611000.0000000001,3191.380714285713,51.45006164116275,51.45006164116275
1,531781.7460317459,1595345.238095237,903428.5714285712,691916.6666666666,1709.459999999999,7226.980648988721,2408.993549662907
1,339243.8775510202,2374707.142857142,1533857.142857142,840850,1125.506734693877,29370.26604368383,4195.752291954832
1,688535.7142857142,2754142.857142856,1862142.857142856,892000.0000000001,1385.081428571428,5826.138296177431,1456.534574044357
1,1087809.523809523,4351238.095238095,2864571.428571428,1486666.666666666,1908.213214285713,14089.51494943112,3522.378737357781
1,705061.9047619049,3525309.523809524,2450142.857142857,1075166.666666666,1587.503514285714,4068.79673556539,813.7593471130782
1,653071.4285714285,2612285.714285714,1693285.714285714,918999.9999999998,1539.182551020408,3247.879789923041,811.9699474807604
1,829107.1428571427,1658214.285714285,1147714.285714285,510499.9999999999,2090.784285714285,4021.384020740495,2010.692010370247
1,621488.0952380951,1242976.19047619,761142.857142857,481833.3333333333,1783.316428571428,982.456144670616,491.228072335308
1,458261.9047619048,2291309.523809524,1517142.857142857,774166.6666666667,1217.426857142857,13076.95245554853,2615.390491109707
1,1062500,3187500,2130000,1057500,1698.369421768707,4549.588616262124,1516.529538754041
1,2746440.476190476,5492880.952380952,3475714.285714285,2017166.666666666,2729.189642857144,1859.60585848042,929.8029292402103
1,260976.1904761904,2087809.523809523,1247142.857142856,840666.6666666666,1013.241301020408,19883.01345504932,2485.376681881165
1,648523.8095238094,648523.8095238094,402857.1428571428,245666.6666666666,2644.812857142856,275.0615153335218,275.0615153335218
1,380297.619047619,760595.2380952381,528428.5714285714,232166.6666666666,1507.850714285714,4356.40433397184,2178.20216698592
1,709307.142857143,3546535.714285714,2098285.714285714,1448250,1630.177163265306,13350.96965395782,2670.193930791565
1,1409199.404761904,5636797.619047619,2842714.285714285,2794083.333333333,1864.33887755102,4407.057838877188,1101.764459719297
1,1379303.571428571,5517214.285714286,2230714.285714286,3286500,1796.575905612244,3163.925839497006,790.9814598742516
1,652728.5714285715,3263642.857142857,1940142.857142857,1323500,1760.217306122448,10591.48546410868,2118.297092821736
1,1708821.428571429,3417642.857142858,2396142.857142858,1021499.999999999,3232.152704081632,787.9238822646325,393.9619411323162
1,758333.3333333334,1516666.666666666,1020000,496666.6666666666,1967.210459183673,3025.561731579334,1512.780865789667
1,2687380.952380953,2687380.952380953,1453714.285714286,1233666.666666666,3710.821163265305,40.31138850235433,40.31138850235433
1,827261.9047619046,1654523.809523809,1245857.142857142,408666.6666666665,1872.028367346938,1443.756025063395,721.8780125316978
1,869561.9047619049,4347809.523809524,2498142.857142856,1849666.666666666,1745.797795918367,4481.783765453305,896.3567530906611
1,1128601.19047619,2257202.380952381,1588285.714285714,668916.6666666666,2617.686836734693,787.9238822646325,393.9619411323162
1,723909.5238095236,3619547.619047618,2353714.285714285,1265833.333333333,2350.096551020408,8718.577998231325,1743.715599646265
1,1204083.333333333,3612249.999999999,2369999.999999999,1242249.999999999,2406.294013605441,6068.836344809435,2022.945448269811
1,1257089.285714285,2514178.571428571,1650428.571428571,863750,2732.349591836733,95.26480476365472,47.63240238182736
1,769383.3333333333,3846916.666666666,2436000,1410916.666666666,1936.305836734693,20978.76145977416,4195.752291954832
1,2469686.507936507,7409059.523809524,5762142.857142858,1646916.666666666,4375.945714285714,160.4752537509461,53.49175125031537
1,780785.7142857143,3123142.857142857,2189142.857142857,934000,2303.411581632653,10840.48637382095,2710.121593455238
1,824038.6904761902,3296154.761904761,2369571.428571428,926583.3333333333,2154.714795918366,891.1631201416681,222.790780035417
1,2072616.071428571,8290464.285714287,4810714.285714286,3479750,2722.301760204081,7759.003401768321,1939.75085044208
1,582351.1904761904,2329404.761904761,1577571.428571428,751833.3333333331,1828.803545918367,5671.564894264947,1417.891223566236
1,790318.4523809521,3161273.809523808,1992857.142857142,1168416.666666666,2413.748456632652,9004.301163289265,2251.075290822316
1,1077750,1077750,837000,240750,3624.46081632653,152.1632653857819,152.1632653857819
1,607000,2428000,1784999.999999999,643000,1807.786224489795,6896.715133104202,1724.17878327605
1,1533166.666666666,6132666.666666666,3939000,2193666.666666666,2763.430204081632,4849.963023175162,1212.49075579379
1,710886.9047619049,2843547.619047619,1732714.285714285,1110833.333333333,1712.080051020408,5214.752573549304,1303.688143387326
1,870972.2222222222,2612916.666666666,1770000,842916.6666666667,2120.6031292517,7849.824655385688,2616.608218461896
1,385085.0340136053,2695595.238095237,2013428.571428571,682166.6666666667,1372.994198250729,15409.85283347929,2201.407547639899
1,1003384.92063492,3010154.761904762,1844571.428571429,1165583.333333333,2111.253571428571,2623.096223416103,874.3654078053677
1,401226.1904761904,2006130.952380952,1405714.285714285,600416.6666666667,1709.490020408162,6296.385414035029,1259.277082807005
